32
0	1958	1429	1478	1310	1593	1165	1342	1329	1261	1036	1341	1641	1145	1400	1528	1937	1584	1197	1838	1059	1192	1766	1743	1553	1518	1102	1848	1845	1935	1991	2010	
1958	0	1275	1468	1792	1503	1025	1495	1247	1277	1170	1598	1356	1448	1386	1876	1488	1200	2023	1548	1534	1816	1992	1576	1914	1405	1431	1858	1631	1791	1190	1822	
1429	1275	0	1288	1050	1662	1121	1380	1757	1376	1360	1487	1156	1108	1304	1291	1782	1828	1449	1269	1564	1044	1711	1224	1555	1066	1995	1094	1803	1210	1904	1886	
1478	1468	1288	0	1157	1101	1843	1135	1168	1281	1350	1899	1396	1392	1209	1947	1098	1994	1486	1784	1124	1902	1808	1510	1501	1949	1879	1455	1416	1866	1659	1193	
1310	1792	1050	1157	0	1173	1529	1178	1575	1656	1084	1610	1811	1514	1198	1453	1671	1345	1174	1669	1700	1085	1048	1207	1351	1588	1348	1927	1033	1236	1681	1457	
1593	1503	1662	1101	1173	0	1081	1131	2003	1314	1267	1650	1790	1159	2044	1152	1629	1384	1842	1397	1972	1385	2029	1989	1586	1484	1446	2015	1257	1349	1689	1747	
1165	1025	1121	1843	1529	1081	0	1462	1635	1748	1172	1704	1519	1055	1701	1181	1893	1787	1297	1679	1077	1052	1622	2007	1231	1885	1864	1920	1442	1497	1401	1739	
1342	1495	1380	1135	1178	1131	1462	0	1049	1853	1238	1295	1951	2021	1030	1100	1248	1835	1590	1887	1926	1037	2041	1530	1511	1144	1577	1422	1957	1683	1672	1035	
1329	1247	1757	1168	1575	2003	1635	1049	0	1602	1829	1289	1924	1092	1986	1975	1901	1106	1343	1562	1963	1718	1286	1107	1041	1095	1660	1738	1325	1188	1176	1118	
1261	1277	1376	1281	1656	1314	1748	1853	1602	0	1334	1040	1948	1324	1941	1909	1316	1273	1330	1408	1664	1363	1120	1430	1105	1781	1411	1921	1596	1543	1268	1616	
1036	1170	1360	1350	1084	1267	1172	1238	1829	1334	0	1436	1371	1300	1721	1615	1762	1734	1072	1934	1211	1218	1090	1777	1987	2011	1508	1750	1981	1976	1897	1185	
1341	1598	1487	1899	1610	1650	1704	1295	1289	1040	1436	0	1338	1358	1556	1450	1070	1368	1625	1990	1086	1614	1979	1944	1494	1167	1370	1122	2037	1279	1806	1883	
1641	1356	1156	1396	1811	1790	1519	1951	1924	1948	1371	1338	0	1166	1148	1039	1340	1441	1339	1150	1648	1076	1594	1938	1955	1716	1233	1653	2013	1542	2014	1507	
1145	1448	1108	1392	1514	1159	1055	2021	1092	1324	1300	1358	1166	0	2004	1852	1706	1688	1713	1977	1489	1780	1840	1189	1104	1604	1735	1771	1627	1177	1763	1657	
1400	1386	1304	1209	1198	2044	1701	1030	1986	1941	1721	1556	1148	2004	0	1305	1126	1383	1970	1717	1928	1308	1640	1618	1201	1804	1387	2008	1083	1676	1074	1678	
1528	1876	1291	1947	1453	1152	1181	1100	1975	1909	1615	1450	1039	1852	1305	0	1138	1093	1571	2040	1560	1959	1896	1263	1817	1611	1727	1680	1240	1434	1158	1202	
1937	1488	1782	1098	1671	1629	1893	1248	1901	1316	1762	1070	1340	1706	1126	1138	0	1175	1116	1171	1419	1968	1155	2030	1969	1054	1812	1064	1043	1278	1606	1557	
1584	1200	1828	1994	1345	1384	1787	1835	1106	1273	1734	1368	1441	1688	1383	1093	1175	0	1525	1877	1634	1868	1079	1875	1464	1668	1983	1444	1234	1504	1474	1194	
1197	2023	1449	1486	1174	1842	1297	1590	1343	1330	1072	1625	1339	1713	1970	1571	1116	1525	0	1460	1587	1103	1374	1410	1301	1212	1984	1846	1878	2005	1147	1527	
1838	1548	1269	1784	1669	1397	1679	1887	1562	1408	1934	1990	1150	1977	1717	2040	1171	1877	1460	0	1024	1096	1352	1246	1566	1895	1139	1226	1075	1651	1574	1467	
1059	1534	1564	1124	1700	1972	1077	1926	1963	1664	1211	1086	1648	1489	1928	1560	1419	1634	1587	1024	0	1407	1592	1964	1522	1344	1922	1755	1132	1206	1445	1272	
1192	1816	1044	1902	1085	1385	1052	1037	1718	1363	1218	1614	1076	1780	1308	1959	1968	1868	1103	1096	1407	0	1409	1255	1134	1719	2012	1111	1754	1768	1675	1313	
1766	1992	1711	1808	1048	2029	1622	2041	1286	1120	1090	1979	1594	1840	1640	1896	1155	1079	1374	1352	1592	1409	0	1249	1034	1589	1541	1903	1490	1068	1260	1333	
1743	1576	1224	1510	1207	1989	2007	1530	1107	1430	1777	1944	1938	1189	1618	1263	2030	1875	1410	1246	1964	1255	1249	0	1163	1652	1810	1682	1696	1834	2039	1661	
1553	1914	1555	1501	1351	1586	1231	1511	1041	1105	1987	1494	1955	1104	1201	1817	1969	1464	1301	1566	1522	1134	1034	1163	0	1826	1854	1123	1559	1461	1521	1538	
1518	1405	1066	1949	1588	1484	1885	1144	1095	1781	2011	1167	1716	1604	1804	1611	1054	1668	1212	1895	1344	1719	1589	1652	1826	0	1515	1585	2022	1228	1923	1930	
1102	1431	1995	1879	1348	1446	1864	1577	1660	1411	1508	1370	1233	1735	1387	1727	1812	1983	1984	1139	1922	2012	1541	1810	1854	1515	0	1831	2028	1839	1413	1393	
1848	1858	1094	1455	1927	2015	1920	1422	1738	1921	1750	1122	1653	1771	2008	1680	1064	1444	1846	1226	1755	1111	1903	1682	1123	1585	1831	0	1847	1388	1361	1961	
1845	1631	1803	1416	1033	1257	1442	1957	1325	1596	1981	2037	2013	1627	1083	1240	1043	1234	1878	1075	1132	1754	1490	1696	1559	2022	2028	1847	0	1749	1520	1737	
1935	1791	1210	1866	1236	1349	1497	1683	1188	1543	1976	1279	1542	1177	1676	1434	1278	1504	2005	1651	1206	1768	1068	1834	1461	1228	1839	1388	1749	0	1063	1306	
1991	1190	1904	1659	1681	1689	1401	1672	1176	1268	1897	1806	2014	1763	1074	1158	1606	1474	1147	1574	1445	1675	1260	2039	1521	1923	1413	1361	1520	1063	0	1309	
2010	1822	1886	1193	1457	1747	1739	1035	1118	1616	1185	1883	1507	1657	1678	1202	1557	1194	1527	1467	1272	1313	1333	1661	1538	1930	1393	1961	1737	1306	1309	0	
